	WT_1_1_Aligned	WT_2_1_Aligned	WT_3_1_Aligned	pho85_1_1_Aligned	pho85_2_1_Aligned	pho85_3_1_Aligned	rpo41_1_1_Aligned	rpo41_2_1_Aligned	rpo41_3_1_Aligned	rpopho_1_1_Aligned	rpopho_2_1_Aligned	rpopho_3_1_Aligned	WT_Pi_1_1_Aligned	WT_Pi_2_1_Aligned	WT_Pi_3_1_Aligned	WT_noPi_1_1_Aligned	WT_noPi_2_1_Aligned	WT_noPi_3_1_Aligned	WT_SD_1_1_Aligned	WT_SD_2_1_Aligned	WT_SD_3_1_Aligned	WT_noURA_1_1_Aligned	WT_noURA_2_1_Aligned	WT_noURA_3_1_Aligned	Pro_wN_1_1_Aligned	Pro_wN_2_1_Aligned	Pro_wN_3_1_Aligned	Pro_noN_1_1_Aligned	Pro_noN_2_1_Aligned	Pro_noN_3_1_Aligned	ba_1_1_Aligned	ba_2_1_Aligned	ba_3_1_Aligned	ba_aF_1_1_Aligned	ba_aF_2_1_Aligned	ba_aF_3_1_Aligned
YOR125C	57.63861195943839	57.243350490014954	60.015623896030625	53.305876285375525	54.557038844082534	51.530466157781945	57.75764607857954	62.30229790391855	63.38148609151437	62.453866023282735	59.6763515833655	57.05129962280657	46.67757866504955	47.16045796621857	35.81948268333747	106.61853919647628	97.56177867270769	99.95476649167325	49.269552191012835	43.717019421209955	43.05221923613724	42.295882359511054	54.13752312777157	52.48262897494004	40.0908570653488	38.31592680693575	43.90742962819224	48.38746531885367	54.81969623743442	48.16429108854753	51.14170860217641	47.70011041680908	44.39458386736085	63.19960879380228	75.8792523803734	74.69215529215717
YOR126C	43.416104274198034	44.586024137543944	41.70293721452333	39.556926153129595	43.84343950345873	51.81192494637832	38.625179665681976	34.80066725601539	34.65249473227655	62.25259671608556	48.81993937139248	49.13531950071292	40.858535617101	39.687119863545405	53.96103789984529	64.59652030101057	59.90071823290519	56.575999822228255	39.70778531320878	35.94808613307751	34.18760623658786	43.946793655566744	40.12912598879093	44.36250868388925	40.45158433871798	37.3469698893332	32.95138492731502	41.99179233278357	39.80486753890453	38.19779087025584	33.33640219555129	35.90781335983811	35.43053122483852	77.01902813838416	75.02676127687549	69.8814798941343
YOR127W	31.160545930085554	35.98749246297707	29.906848389430305	29.688351995091637	29.182027923714653	31.797484398821442	28.754455128911268	28.544540661437388	25.005067297485024	31.315436364532182	31.255215475371095	29.856501362991718	29.738801172798567	25.93635178238854	6.48035602498142	34.8600397302056	38.049734789934604	35.50421459557334	31.487629116466994	23.65063042087948	28.05464529138638	20.26180665812194	17.610114010359716	19.658569474128686	26.98718789303069	26.043097712852788	28.604519912995453	26.813536717786167	25.766185377905728	29.16689278872301	35.11920977821185	26.428051297824055	35.03744399245323	62.00531075337624	57.55494370931158	43.826079878150296
YOR128C	77.55200755846663	87.9408567888854	76.37777820031687	61.809266833556784	65.18185783053735	103.18873874877843	129.19121204623735	155.23237973922065	124.92569713327116	96.62402720383743	85.96620376738869	85.09573907049206	80.12188160240491	67.3192419596218	35.31147844267653	173.05684398425396	194.87875288232522	187.43713548274408	106.39670446720379	87.53843769476906	92.74217256199593	96.69999770821548	102.1795621700459	94.99709659940383	292.23525211679004	317.7968046928201	313.04291568642134	291.1850135187906	338.3274547248655	369.34777346998936	35.565440690790446	32.68775908311686	34.83764072209626	28.348160402471926	31.586756868553312	27.751852021764623
YOR129C	16.822324850111997	15.183079136754005	16.432747492856006	11.48884819668862	12.442467777517619	14.83005628789503	14.186990110267654	15.49363697275832	11.74382082109808	13.936999538697242	12.529280144562897	12.588660671092741	17.457313705457157	17.390559837674513	5.078778085452917	17.976328856063418	18.739366032220655	16.747763470184662	16.73502324041385	14.752703677998406	15.04724538916795	7.969668890314375	9.883198974545143	9.292690211210951	18.74323433598494	18.54410230923911	17.828003537398992	18.901646344066343	17.83104890770373	18.9375737339923	19.411737685728916	19.152538512742563	18.664849910404836	114.31132794651002	114.17491121557268	103.44356803134367
YOR130C	33.16989438407972	34.91722844114925	33.86456646609031	37.84446235045978	40.902441812904925	43.36354443251167	79.38164604819939	69.04046180518858	76.20038227201249	56.66312442265652	40.028609293019116	46.78244489508572	35.050691767736254	36.91538789006047	32.256541376388995	70.02747319729481	61.309117741557635	61.49364995873616	35.2332609407407	30.71066239937734	33.70976359209939	29.634762019212975	36.12408763587481	31.839461578130294	55.01755869823131	54.99462435819014	57.38079820186965	50.435611999016785	54.50350772730091	51.81628611674207	54.077048910499634	59.15372989461408	53.11590947732118	279.5991126084515	275.34930359944127	284.4353630921728
YOR131C	60.97603655848142	50.38417513273212	55.86980777163377	69.5720076518688	74.68727155010697	69.82616101888098	62.39777885769289	61.482530826235426	67.69463562238674	83.55482407292635	72.49686999017268	77.55677670558002	52.23901176922231	54.225857459319336	31.0245446975072	112.74743114784386	100.10432502649367	96.4196492102453	54.2076760262196	59.91013468041531	62.18223091761249	125.38049742431986	115.17894756350393	105.54757925451777	53.81160728512767	58.644173042742175	50.675175525919	55.2999603644042	58.96967043293684	57.871343336175215	58.85625291671269	64.71874277657514	64.99194112270457	62.41564418090207	70.68273443145156	72.30852513244619
YOR132W	51.78824832657797	43.90297499643891	48.55285825948323	37.88106241076002	41.82544707663231	48.38742885908388	45.966648769963534	48.03433090761733	38.07651046516051	53.48861300154575	45.62927969397818	38.81153621460225	42.4206910396536	38.012442585323086	48.51958869986088	67.57007781193253	73.08318488459805	68.85806541223666	43.8543196352111	33.441656391432716	36.35266306106723	87.74123108783648	91.43701372599949	85.58571821722525	39.00396730108115	39.83526483893311	41.247637532670495	39.55417405138345	42.55581376234642	41.95589671256156	46.06753753105341	43.16556360223029	46.68358842995455	80.77467298022154	71.49558548799243	61.71932596771591
YOR133W	351.0788286873884	359.8721339389927	317.89756765498373	490.34727599247753	488.6927873169143	369.7315134832673	374.79219728081546	357.76387275240506	365.63569579049596	346.67726974153226	388.47249190675	382.44533229108094	358.09358874456797	349.627171077197	310.9459171227116	326.27809495339176	307.65861759567935	311.1119711263166	374.8485638583435	336.0749373518555	351.56989770636284	396.2752760354191	383.92499397583583	404.00050117713323	308.36456485219406	326.4571212018545	309.198054550974	304.20920173240836	296.9587586880451	301.35797305324195	381.2310553898836	341.62007812568254	362.29469490249693	350.1327800082171	371.2644420653647	350.826403847969
YOR134W	4.783224150398846	5.665656057157631	5.27549617945737	25.40630357678182	32.244319173756985	9.528122555971803	29.909102938491902	27.230130687011616	30.013504841154088	18.54099147566206	32.43389547626326	34.245710946317026	3.5277652891232294	3.874049568686383	1.3898840512980983	5.939398516604122	4.680085323783026	5.262197479988198	1.5167379550382638	1.5904512662567052	2.1547434114268076	18.582198316035193	20.80854082341641	18.578076685774512	3.470796828265219	2.077793825008465	3.15683363199098	2.160154701734539	2.5898841744195233	3.2401924003327274	2.524812662059533	1.8623492387530087	2.7052949544173024	66.86098198591868	74.68733260810858	66.04578438933977
YOR136W	356.29990410761087	308.8746343198788	334.3516222873505	138.15459383214497	140.05152505560758	355.1313777665523	1015.8022997016651	882.9055640720202	931.3774135261774	730.4133874428472	953.8245757250842	946.8498780011928	244.48433578532763	240.54364032495417	148.73876616977623	233.8605999787216	206.77122915643548	197.88138069611838	78.74676424860614	91.92742187933976	82.97754428754843	326.4784865371989	328.9338560556058	328.0758784684365	285.2322873164826	268.93029199882346	295.3048263557485	359.5992017209635	346.5417192481102	332.3300993338873	111.97090932500824	125.70886969678814	114.12945284707772	165.0648086577802	166.5132886551823	155.6996029525419
YOR137C	19.761121956615792	20.055778329942168	18.50301679633609	24.608473768326903	28.10690599748083	19.509104187114847	21.303334992020293	20.950475727414652	18.47033043201811	23.991039177763334	23.609242568125516	25.75304198924926	12.281165000051969	9.889667314696942	4.188172965948904	30.595353007132378	26.731366824930085	27.946210981670223	10.653269445159761	9.81289701335633	10.615242014531242	7.901606687205074	8.452029981945714	7.46124232296077	17.702479759103586	16.849023188717677	17.335373054994562	14.658092099848181	16.197321221125357	16.871287389536423	10.982548422373014	11.441725616282136	11.228135647353541	40.81723248402966	42.58249090328686	39.91240375157294
YOR138C	38.84980995413529	37.811437215683014	36.57850176518107	37.03182663660576	39.06460260825126	41.155463751644206	39.109791170259385	43.93863860758343	37.84352153270088	39.74336928754356	36.194700286057866	36.50186930457642	37.08526816334502	35.85897121428719	21.06650702546043	64.92533340287865	63.97889368762478	64.67719084494586	36.175437659560636	34.9231956366857	36.2079371336409	44.953511331298515	46.3698573897419	46.15281649668054	35.33902225142768	33.85939521308092	33.010260329200584	32.54633083946705	34.64098041990382	34.7173257608589	34.99794593704232	29.10709113259604	33.856111590110274	33.01814596929105	30.378761372183465	26.64916518668439
