Gene Symbol	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3	mpc1_1	mpc1_2	mpc1_3	WT_starv_1	WT_starv_2
SCO2	7.6439	7.93448	10.2871	10.1901	8.87683	9.11554	9.46305	10.1129	8.81891	8.0582	9.49892
											
OLA1	10.2793	9.92576	9.92771	8.808	7.7452	9.12246	9.06558	8.44822	9.44951	8.67222	8.55604
											
ETR1	10.4768	9.02969	9.73504	9.64868	10.6416	10.0876	7.6918	7.72593	7.19471	9.27885	8.48932
											
YPK3	11.1413	10.3824	10.346	8.44906	9.60623	9.32454	10.3862	10.1283	9.73979	5.75085	4.7455
											
CDS1	10.7239	8.68795	10.1033	9.23649	10.9683	9.37913	9.13927	8.69212	8.56396	7.42253	7.08306
											
RKM3	8.55013	8.3333	8.81111	10.1875	9.76589	10.4271	9.35047	9.79348	9.38475	7.7405	7.65576
											
RPL4A	9.56918	11.7564	9.79845	8.56717	8.16353	7.76235	8.93897	8.72639	8.95171	8.8158	8.95004
											
EDS1	11.1289	13.8379	14.2204	7.12441	4.0798	7.09763	12.1202	13.7486	12.572	2.0264	2.04361
											
HMT1	9.08974	8.69479	9.71149	10.6671	10.3808	10.0428	8.86402	8.48848	8.21808	7.32811	8.51457
											
PDX3	7.74984	7.03721	6.93775	7.5642	7.79041	7.97141	12.6631	12.7611	11.8601	9.54294	8.12203
											
CSG2	10.6201	8.96953	10.3545	11.6508	12.031	11.0801	9.26966	8.49585	8.37046	4.40398	4.75401
											
SCO1	8.9247	8.76431	9.94389	10.5273	9.60575	10.0228	7.93232	9.07282	8.77445	8.4302	8.00148
											
CHS2	10.5905	9.32461	9.21664	10.2251	10.0193	10.7741	10.2682	10.5167	10.406	4.23759	4.42129
											
ATP3	11.8495	10.5408	12.032	3.64432	4.38158	3.60791	11.5366	10.4229	11.439	9.37434	11.171
											
FAT1	10.1112	8.75314	9.95839	9.62733	9.47209	9.37812	8.5888	9.04702	8.73121	8.20261	8.13014
											
CST26	8.67749	7.72088	8.42027	10.9762	12.0694	10.944	8.40287	8.57662	8.46873	7.95782	7.78569
											
QDR3	7.15349	6.90842	7.45341	11.2836	13.0557	11.8799	11.4822	10.6499	12.3776	3.33105	4.42489
											
TCM62	10.8763	9.90272	10.9773	6.94588	7.64841	7.20945	9.48749	9.50054	9.70977	8.674	9.0682
											
ZTA1	5.57729	5.87315	6.60269	11.6083	8.82493	11.9815	7.19291	7.73845	7.06693	12.8813	14.6525
											
RPS11B	9.13823	14.9784	8.91734	9.00188	6.82745	7.1483	8.74462	8.22713	8.4488	9.47303	9.0948
											
REB1	8.71742	7.93571	8.45166	9.10763	10.7736	9.75635	8.88774	9.09767	9.10682	8.97726	9.1881
											
RFS1	10.2011	8.56837	9.28065	9.05657	9.51971	9.47349	8.47135	8.47765	8.52764	9.06697	9.35648
											
