	WT_126_sn scaled	WT_127n_sn scaled	WT_127c_sn scaled	WT_128n_sn scaled	mct1_128c_sn scaled	mct1_129n_sn scaled	mct1_129c_sn scaled	mct1_130n_sn scaled	sit4_130c_sn scaled	sit4_131_sn scaled	sit4_131c_sn scaled	sit4_132n_sn scaled	mct1sit4_132c_sn scaled	mct1sit4_133n_sn scaled	mct1sit4_133c_sn scaled	mct1sit4_134n_sn scaled
YIM1	7.35205	9.02087	8.39073	9.61158	5.1854	4.72209	4.75136	4.87662	7.35847	6.6177	5.68953	6.48792	7.09605	3.99689	5.71678	3.12595
APL1	10.4288	7.6076	6.51617	7.00002	12.6608	3.01366	5.37449	4.89117	5.7045	7.24488	6.12457	4.91372	5.63258	5.19631	4.23793	3.45281
AIM18	5.40121	7.16797	6.71615	7.29127	5.14052	7.79977	6.99703	8.29743	4.97685	4.01424	5.16661	6.04026	5.13768	6.07808	5.90263	7.87231
WHI2	11.0232	6.16301	6.73156	6.27077	8.09931	3.87362	7.03628	4.97744	5.93769	6.04697	5.97064	4.97519	6.18541	6.0387	6.10272	4.56751
GND1	7.24669	8.05803	9.45497	8.32935	3.67829	1.99277	3.60614	3.16966	5.25938	5.43897	7.70268	6.73041	7.61427	6.41067	12.0839	3.22379
GAA1	6.75709	8.74499	8.90296	7.91621	5.84977	5.34047	4.81754	5.44288	7.23294	6.61269	5.24672	5.45134	8.54435	4.88648	5.93539	2.31817
S100A9	3.13092	8.7342	7.68757	8.73563	11.2156	3.60156	6.24359	5.07487	4.55627	4.31353	8.13494	4.47129	5.74717	4.81564	7.46843	6.06876
SAS4	12.8865	11.8994	7.79113	7.61439	13.0083	1.72552	1.69117	1.92027	6.56161	7.05348	8.09099	8.78447	5.54246	1.91295	2.72147	0.795914
OCA1	8.91875	8.02432	8.19905	8.27457	4.82721	3.02389	5.51692	4.477	5.74315	7.28423	7.17067	5.14682	5.46761	4.26755	10.1062	3.55208
YNL010W	8.066	5.76447	8.52563	6.64109	5.81246	4.19668	7.40683	4.93684	5.47314	5.39399	5.95377	5.17052	7.64794	5.92072	9.20371	3.88621
AVT6	5.79664	9.3232	8.81623	11.0791	4.05745	2.96149	3.79863	3.69117	6.18238	7.2896	5.58698	7.49525	7.80685	4.80221	9.05089	2.26192
MRH1	9.85882	6.75411	6.63479	4.129	10.2144	9.13631	7.52917	4.06711	5.28845	5.00846	6.61043	3.85233	7.95287	6.80967	3.60029	2.55376
YGR210C	9.39039	6.89093	7.48814	9.44755	5.70989	2.33547	4.282	3.80099	7.55102	6.82333	5.71096	5.09311	9.20258	4.90836	8.39207	2.97319
PSH1	12.0904	7.2479	7.04477	8.01747	15.6978	1.14414	2.51107	1.55959	6.01214	7.52359	5.83248	6.70566	6.69586	2.47372	7.32573	2.1176
GIS2	5.90373	9.02645	9.90182	9.30746	3.07398	4.44471	5.30445	5.17052	3.70275	6.45305	8.05307	7.661	4.46626	6.0887	7.90337	3.53868
SOK1	9.17349	10.1603	7.24169	9.1536	4.67237	3.0575	2.74794	4.68111	7.67011	7.13565	6.93359	5.33469	6.81805	5.35737	5.78017	4.08241
AST1	7.81961	7.64752	7.55249	8.76681	5.4614	6.25874	5.48281	6.6579	5.338	6.17753	6.81624	5.75193	5.52539	4.75819	7.57747	2.40796
RPS22A	6.85703	5.27476	6.51555	6.63338	7.09734	6.06294	6.36301	10.124	5.0379	4.44278	5.00993	4.65928	6.45989	6.5645	7.05309	5.84462
SEC66	6.28582	8.39578	8.78452	9.45868	6.25476	5.85164	5.15317	6.72124	7.18635	6.59953	5.36826	5.76988	5.81727	4.35022	5.28549	2.71741
TIF6	9.13595	7.07653	8.39294	7.20172	11.5917	2.72408	3.67774	2.80788	6.47449	6.03523	6.31763	5.24333	9.13168	4.64952	6.9247	2.6149
DBP3	14.2588	7.33432	7.11168	5.41771	19.5542	2.30109	2.13189	2.00987	9.62185	6.25284	5.8776	4.06083	7.85297	2.02976	3.07179	1.11285
SSN3	9.55469	8.26363	8.92253	10.441	10.8021	2.23322	3.18356	2.83019	6.47819	7.11212	6.80925	7.72045	5.8002	2.91473	4.90801	2.02618
FAT1	7.2953	9.63306	9.18752	10.1425	4.69217	3.73065	3.22735	4.19589	8.10889	6.87196	5.64654	6.76378	7.82427	4.00325	5.96971	2.70713
ZEO1	11.8073	7.56825	7.8009	5.31328	6.3574	5.10548	6.69303	4.83258	8.80581	5.50059	5.83043	4.39462	8.17276	3.67536	5.45787	2.68435
FMP32	5.1727	10.026	8.44499	7.18078	3.12108	6.23589	5.35162	5.31902	4.89881	5.36603	5.7606	7.22401	6.52495	7.01034	6.28615	6.07702
UTP20	10.5244	9.01431	6.46893	10.3038	12.5496	2.82525	2.29219	2.42516	6.89828	7.00696	6.72804	6.74897	5.82008	3.42772	3.89946	3.06694
SRB8	11.0901	9.07787	9.85382	9.37592	11.4497	1.85444	2.17668	1.92864	7.95771	6.44324	7.14385	8.16432	6.25718	1.72414	4.38595	1.11647
FEN2	8.70906	8.60995	8.77359	10.7995	5.45614	3.34847	3.5351	5.133	8.01328	6.94546	6.06413	6.78861	5.96335	3.42837	6.13141	2.30062
RTC1	10.0182	6.40321	6.54662	5.9235	7.28341	2.52085	2.87843	2.60834	4.28242	5.73579	6.53939	5.21842	9.02988	7.63681	14.0572	3.31752
BAP2	9.00349	8.79568	8.62265	11.6834	4.34457	3.92472	3.54027	3.97628	7.44188	7.39888	6.52172	7.34978	5.20193	4.37758	5.09153	2.72564
TEL1	10.4632	8.38177	6.06653	12.3783	11.2147	3.36678	1.71635	4.32978	9.19279	6.02034	5.14393	7.73626	5.94933	1.93424	4.50795	1.59769
WWM1	6.91459	5.3889	6.28092	6.11019	7.2196	6.77828	7.72752	7.47182	4.52773	5.42212	4.82934	3.82432	5.89507	7.78725	9.08451	4.73784
EGD2	7.38834	7.16359	7.79514	9.21007	6.19181	2.85902	5.07105	3.73569	5.41651	6.58446	5.87958	5.88962	8.69401	5.26006	9.896	2.96504
BEM3	8.82583	8.97392	9.87882	9.59088	4.84362	3.41075	5.37743	5.37729	6.39399	5.96098	6.45784	9.25919	4.56034	4.12878	4.45523	2.50511
SRP40	14.2062	3.19941	3.54147	3.53782	23.2492	5.57384	3.78741	4.66134	6.56855	3.50416	4.65992	3.69583	9.74331	3.21442	5.71593	1.14127
YBR225W	10.0854	7.01306	8.19768	6.76655	6.24381	2.92327	5.07123	4.9091	5.72282	5.60248	6.88097	5.9238	6.26811	6.38578	7.08304	4.92285
COQ10	6.43198	7.69883	7.2862	6.12675	5.79891	9.99859	9.49093	6.69838	5.20729	4.1746	5.7832	5.56179	3.80443	5.38923	2.88525	7.66365
GLC3	6.72717	5.57629	8.06377	6.12559	4.83157	3.27079	6.51157	4.7638	4.30163	5.56529	5.58167	4.4622	8.60419	8.25359	11.4527	5.90818
SYS1	10.7988	7.63346	7.2669	11.5127	5.20044	4.25801	2.97562	4.49391	9.14641	6.57295	5.211	7.02252	5.62925	3.95002	5.92147	2.40655
SUI3	9.97796	8.56638	10.0078	9.22302	3.34906	1.26532	2.56828	2.87036	6.08105	7.36963	7.0632	7.83721	7.49863	4.2335	9.32775	2.76086
STT3	6.51406	8.71527	8.41935	10.1007	5.45452	4.9844	4.43204	5.55413	7.56736	6.69146	5.12537	5.9446	7.76871	4.43365	5.82203	2.47231
KKQ8	6.90864	8.0823	6.70717	7.23686	8.31108	8.40725	7.27347	8.70546	4.56986	6.99461	6.07922	4.0666	4.77652	4.79121	4.94018	2.1496
GAB1	6.3777	8.9616	9.21721	9.02296	5.50449	4.55994	4.72653	5.40117	7.35602	6.67203	5.31681	5.84658	7.61858	4.40814	6.65608	2.35416
YPT6	7.72837	9.19193	8.39184	8.36605	6.35833	6.23893	5.6233	6.00291	6.11887	7.29097	6.5286	5.32022	5.12644	4.16105	5.29518	2.25699
TRS31	10.1584	9.01304	8.25702	9.88274	5.31818	3.34416	4.12194	2.8763	7.35658	7.544	6.99102	6.0893	7.02004	4.37551	5.61217	2.03961
GNA1	7.87799	6.18699	8.87227	6.89064	5.83896	4.54815	7.03219	3.78489	5.48891	4.93887	7.19931	4.74052	7.7427	5.75204	9.04559	4.05999
AAP1	6.54113	9.77846	6.44397	11.0763	3.61703	4.3189	4.90546	5.17461	5.76732	7.78161	5.92228	5.90285	6.04556	5.71296	6.02772	4.98386
PER1	6.26154	8.13054	7.73491	11.1946	5.54797	4.9575	4.26955	5.89185	7.49038	6.73227	4.95012	5.80799	7.65118	4.39251	6.84328	2.14386
RER2	6.5413	8.29339	8.31547	9.66893	5.68662	5.33354	4.65608	5.32512	7.04432	6.70087	5.01656	5.83752	8.3522	5.07893	5.59788	2.55125
RPL19B	7.41159	8.04661	9.49463	8.73332	5.88021	3.13091	3.64717	3.8382	6.9449	6.5487	6.21125	5.52082	8.53544	4.93025	8.45638	2.66965
RHO1	9.81741	9.61024	8.47297	7.44241	6.49915	4.51404	4.82077	4.29325	8.76834	5.41538	6.11653	6.15424	7.27255	3.3473	5.14384	2.31158
NMA2	7.48722	6.92528	8.60774	9.63208	5.39071	4.09303	5.11062	4.00114	5.07426	7.5464	6.39927	5.4043	6.99827	4.15943	10.1736	2.99664
SEC16	10.5434	6.49075	5.76751	6.09581	11.4846	4.77809	5.0779	5.71593	5.39265	5.75999	5.76462	4.69614	6.38055	6.12397	6.16621	3.76195
GPM1	8.01341	9.02033	7.63827	6.73019	4.07616	2.98811	4.88995	3.45186	5.70071	5.45921	6.91796	5.40553	8.59771	5.86282	11.4724	3.77539
NOC3	10.9589	6.16151	5.57132	8.58042	19.6028	3.31547	3.05223	4.32715	6.43282	5.98181	5.4384	5.52745	6.81211	2.25967	4.18027	1.79762
RGD2	14.7218	7.43943	6.41799	8.23514	8.59552	2.8098	3.27843	3.69347	6.62636	8.02582	6.57843	6.28591	6.72606	3.13488	5.07613	2.35482
PRP46	11.1008	7.23208	5.96985	8.01515	22.3324	2.73535	2.02238	3.34438	6.03529	4.29559	6.55158	7.27207	5.64618	2.24048	4.46084	0.745627
YPR117W	8.83217	8.74706	8.33309	8.30638	6.09612	5.31614	4.62106	4.77075	9.06427	5.81483	5.24859	5.44045	8.1308	4.44689	4.36447	2.46692
COX5B	6.21778	10.2108	8.61348	8.9154	2.73265	4.15973	3.85156	3.74927	6.19499	5.39091	6.39433	7.37552	6.21587	6.2832	7.67768	6.01684
SBP1	10.9829	5.65488	6.59872	6.35469	11.2524	6.08672	5.37688	5.42914	5.53912	4.94524	5.72893	5.87662	6.46449	4.27125	6.86495	2.57309
STB2	8.3717	5.61124	6.6815	5.50329	7.17143	7.02505	6.51706	6.62852	5.40758	5.15957	4.85342	4.10811	7.70505	7.00066	7.42515	4.83067
DAP2	7.10232	8.38662	9.26194	6.28788	6.1286	5.52099	6.39044	4.70396	6.44489	6.34662	5.60084	4.76938	7.36507	5.55817	6.23169	3.90059
PGC1	7.27632	7.92697	8.3999	6.67843	7.97253	5.84015	4.89141	6.15572	6.92613	6.14543	4.88479	4.61401	8.77886	4.71393	5.8897	2.90573
YLR283W	5.49111	9.76471	7.6382	8.16564	3.74642	6.79657	5.99009	7.25286	5.03428	5.18348	5.63244	7.30003	4.53248	5.03922	6.20693	6.22555
OAF1	12.925	11.9716	11.4574	5.24299	13.12	0.85542	2.67246	1.08455	8.21169	8.55952	7.19434	7.02731	4.84394	1.43107	3.40265	0
APJ1	10.0632	10.3436	9.29728	10.3693	8.95482	1.7755	1.71918	2.5406	7.99239	7.83991	6.81051	7.20204	6.69272	2.5616	4.49113	1.34618
YGR130C	12.7096	3.71589	4.39569	3.93276	17.4604	6.18684	5.23369	5.50008	5.84195	4.16693	4.55606	3.86734	7.66572	5.3726	5.20909	4.18536
RPN8	8.99896	6.74142	8.34417	7.54767	9.27962	2.57831	4.19558	3.40997	5.885	6.4104	6.09528	5.16143	8.38125	4.8991	8.91414	3.1577
AIM33	7.25371	8.55449	8.07233	7.58494	4.82466	5.23421	5.44836	5.60795	7.09036	6.73044	5.14454	4.44067	9.46566	4.45945	5.93505	4.15316
SSP120	10.4309	6.81866	6.28826	7.84177	6.17933	5.23966	4.53609	5.45294	8.71696	5.10453	4.70745	4.80653	9.44717	5.11816	6.22846	3.08309
COG5	11.319	12.0654	8.58271	9.84219	3.64887	2.0502	2.23053	1.54504	8.04179	9.86791	7.49614	5.67904	7.13567	3.30354	4.82109	2.37084
BUD2	7.37851	5.62598	5.57235	5.62136	11.0418	10.6248	8.23436	10.4788	4.43871	3.98944	4.726	4.82497	4.55636	5.82743	3.62775	3.43139
ARP7	16.4845	5.48466	4.89942	3.44393	24.6044	2.89811	1.84428	2.99621	6.82325	6.44043	4.11763	5.13567	8.17961	2.10614	2.91948	1.62227
RPL32	7.64044	7.76312	9.40341	9.27006	6.54791	3.06715	3.90706	3.78967	7.05603	6.88753	5.87723	5.48529	8.0504	4.56798	8.28475	2.40198
PAT1	10.6076	4.42214	5.21321	4.92808	15.3872	6.77689	5.7819	7.64869	4.86023	4.52415	4.78717	4.51382	5.83511	4.78809	5.96104	3.96479
GCR2	13.8166	7.5422	6.43734	7.8047	19.8043	2.1432	1.56936	2.40342	6.5323	8.86809	6.56421	4.45522	5.16528	1.93036	3.61091	1.35248
IVY1	7.11438	7.56352	10.8941	9.05798	3.98908	1.40318	2.30692	2.38914	6.0314	6.15953	7.44413	6.05185	9.75978	5.39071	11.1888	3.25555
GNT1	11.8163	10.3544	8.18723	11.3119	3.94705	3.00417	2.6397	3.3128	12.5233	6.48531	5.44444	6.45106	6.71473	2.51607	4.05878	1.23283
AAC3	3.5273	6.16017	5.84763	5.8792	4.32636	7.5512	6.46117	7.94937	3.58063	3.28333	4.05446	4.95016	8.33103	8.4425	11.3389	8.31658
MNS1	7.3925	8.02664	8.31956	8.49237	6.43753	5.74695	4.97656	6.66292	7.26511	5.83281	5.10582	5.67075	7.74929	4.16907	5.56336	2.58877
SEC53	8.30543	8.21239	9.12662	10.9024	3.91631	2.22696	4.59895	3.73188	6.50834	7.38857	7.16562	5.99575	6.2228	4.38457	8.77406	2.53932
MSN1	13.3465	10.6404	6.77633	10.3543	8.46069	2.37285	1.32106	3.38414	5.99835	8.26387	4.90189	11.267	6.176	1.75981	2.68837	2.28846
RPL11B	7.20951	7.72652	8.53941	8.8232	6.45907	3.70714	3.82712	4.32664	6.9817	6.59421	5.33233	4.98902	8.96407	5.02429	9.21566	2.28012
PRR1	8.02077	9.146	8.03397	13.788	4.2894	4.63548	4.56124	5.16715	6.81057	8.53309	6.29005	7.20174	4.21361	2.59093	5.19454	1.52347
