YBR026C	1405
YBR027C	5
YBR028C	948
YBR029C	2172
YBR030W	798
YBR031W	21266
YBR032W	54
YBR033W	216
YBR034C	3310
YBR035C	1838
YBR036C	2305
YBR037C	618
YBR038W	1517
YBR039W	2173
YBR040W	115
YBR041W	1342
YBR042C	878
YBR043C	1157
YBR044C	722
YBR045C	132
YBR046C	642
YBR047W	192
YBR048W	12821
YBR049C	1589
YBR050C	49
YBR051W	9
YBR052C	1524
YBR053C	1342
YBR054W	1228
YBR055C	907
YBR056C-B	0
YBR056W	1085
YBR056W-A	82
YBR057C	1188
YBR058C	1107
YBR058C-A	947
YBR059C	1154
YBR060C	860
YBR061C	852
YBR062C	659
YBR063C	373
YBR064W	40
YBR065C	307
YBR066C	800
YBR067C	7836
YBR068C	3532
YBR069C	3427
YBR070C	550
YBR071W	1145
YBR072C-A	2
YBR072W	1081
YBR073W	1428
YBR074W	975
YBR076C-A	155
YBR076W	27
YBR077C	759
YBR078W	20862
YBR079C	5257
YBR080C	1480
YBR081C	938
YBR082C	8071
YBR083W	1414
YBR084C-A	16038
YBR084W	1877
YBR085C-A	1827
YBR085W	413
YBR086C	2914
YBR087W	955
YBR088C	953
YBR089C-A	1124
YBR089W	347
YBR090C	242
YBR091C	333
YBR092C	4625
YBR093C	457
YBR094W	807
YBR095C	731
YBR096W	1341
YBR097W	320
YBR098W	322
YBR099C	0
YBR101C	1602
YBR102C	740
YBR103C-A	0
YBR103W	744
YBR104W	1041
YBR105C	2289
YBR106W	7635
YBR107C	453
YBR108W	614
YBR109C	4049
YBR109W-A	23
YBR110W	1244
YBR111C	1666
YBR111W-A	487
YBR112C	1236
YBR113W	41
YBR114W	622
YBR115C	0
YBR116C	19
YBR117C	220
YBR118W	36391
YBR119W	587
YBR120C	407
YBR121C	8924
YBR121C-A	0
YBR122C	1253
YBR123C	739
YBR124W	35
YBR125C	812
YBR126C	4419
YBR126W-A	618
YBR126W-B	379
YBR127C	8009
YBR128C	161
YBR129C	544
YBR130C	1262
YBR131C-A	0
YBR131W	411
YBR132C	484
YBR133C	1271
YBR134W	15
YBR135W	953
YBR136W	385
YBR137W	888
YBR138C	422
YBR139W	1328
YBR140C	1191
YBR141C	433
YBR141W-A	0
YBR142W	1215
YBR143C	5771
YBR144C	7
YBR145W	925
YBR146W	1674
YBR147W	80
YBR148W	111
YBR149W	2999
YBR150C	355
YBR151W	1701
YBR152W	215
YBR153W	552
YBR154C	2453
YBR155W	1693
YBR156C	617
YBR157C	511
YBR158W	5666
YBR159W	2541
YBR160W	1228
YBR161W	641
YBR162C	12944
YBR162W-A	1082
YBR163W	677
YBR164C	1374
YBR165W	621
YBR166C	1088
YBR167C	343
YBR168W	413
YBR169C	1113
YBR170C	1098
YBR171W	1611
YBR172C	2021
YBR173C	1890
YBR174C	18
YBR175W	506
YBR176W	562
YBR177C	1768
YBR178W	4
YBR179C	808
YBR180W	49
YBR181C	10857
YBR182C	170
YBR182C-A	22
YBR183W	251
YBR184W	132
YBR185C	612
YBR186W	229
YBR187W	2687
YBR188C	397
YBR189W	24829
YBR190W	4
YBR191W	10681
YBR191W-A	5
YBR192W	908
YBR193C	503
YBR194W	216
YBR195C	769
YBR196C	19454
YBR196C-A	9
YBR196C-B	65
YBR197C	526
YBR198C	1664
YBR199W	2710
YBR200W	888
YBR200W-A	3
YBR201C-A	88
YBR201W	420
YBR202W	1407
YBR203W	203
YBR204C	635
YBR205W	1603
YBR206W	188
YBR207W	1986
YBR208C	768
YBR209W	61
YBR210W	488
YBR211C	419
YBR212W	1597
YBR213W	330
YBR214W	1460
YBR215W	688
YBR216C	581
YBR217W	260
YBR218C	2728
YBR219C	3
YBR220C	1033
YBR221C	6322
YBR221W-A	0
YBR222C	1967
YBR223C	330
YBR223W-A	0
YBR224W	7
YBR225W	426
YBR226C	42
YBR227C	715
YBR228W	408
YBR229C	1183
YBR230C	614
YBR230W-A	150
YBR231C	477
YBR232C	81
YBR233W	575
YBR233W-A	447
YBR234C	2937
YBR235W	776
YBR236C	772
YBR237W	648
YBR238C	961
YBR239C	321
YBR240C	153
YBR241C	649
YBR242W	736
YBR243C	1145
YBR244W	668
YBR245C	1289
YBR246W	1102
YBR247C	1915
YBR248C	1931
YBR249C	6082
YBR250W	76
YBR251W	733
YBR252W	1085
YBR253W	473
YBR254C	408
YBR255C-A	234
YBR255W	472
YBR256C	1650
YBR257W	401
YBR258C	164
YBR259W	375
YBR260C	819
YBR261C	1153
YBR262C	764
YBR263W	3540
YBR264C	475
YBR265W	1404
YBR266C	0
YBR267W	1216
YBR268W	686
YBR269C	724
YBR270C	287
YBR271W	668
YBR272C	577
YBR273C	877
YBR274W	493
YBR275C	1051
YBR276C	928
YBR277C	14
YBR278W	290
YBR279W	1612
YBR280C	374
YBR281C	785
YBR282W	574
YBR283C	4898
YBR284W	174
YBR285W	59
YBR286W	10888
YBR287W	937
YBR288C	718
YBR289W	609
YBR290W	845
YBR291C	290
YBR292C	46
YBR293W	659
YBR294W	368
YBR295W	329
YBR296C	36
YBR296C-A	1
YBR297W	139
YBR298C	233
YBR298C-A	2
YBR299W	37
YBR300C	13
YBR301W	18
YBR302C	20
YCL001W	1462
YCL001W-A	29
YCL001W-B	37
YCL002C	525
YCL004W	391
YCL005W	693
YCL005W-A	753
YCL007C	218
YCL008C	573
YCL009C	6224
YCL010C	681
YCL011C	3170
YCL012C	243
YCL014W	726
YCL016C	452
YCL017C	1321
YCL018W	0
YCL019W	1
YCL020W	0
YCL021W-A	98
YCL022C	0
YCL023C	5
YCL024W	508
YCL025C	1584
YCL026C-A	80
YCL026C-B	301
YCL027W	785
YCL028W	2115
YCL029C	728
YCL030C	4560
YCL031C	1661
YCL032W	665
YCL033C	646
YCL034W	1564
YCL035C	1611
YCL036W	834
YCL037C	109
YCL038C	531
YCL039W	965
YCL040W	5034
YCL041C	26
YCL042W	69
YCL043C	13402
YCL044C	788
YCL045C	2941
YCL046W	96
YCL047C	464
YCL048W	22
YCL048W-A	16
YCL049C	587
YCL050C	4430
YCL051W	791
YCL052C	993
YCL054W	2499
YCL054W-A	245
YCL055W	1292
YCL056C	351
YCL057C-A	892
YCL057W	2314
YCL058C	137
YCL058W-A	0
YCL059C	1705
YCL061C	616
YCL063W	772
YCL064C	3162
YCL065W	0
YCL066W	0
YCL067C	0
YCL068C	0
YCL069W	1
YCL073C	0
YCL074W	0
YCL075W	0
YCL076W	0
YCR001W	64
YCR002C	1758
YCR003W	632
YCR004C	2280
YCR005C	8010
YCR006C	50
YCR007C	194
YCR008W	1443
YCR009C	2380
YCR010C	77
YCR011C	1451
YCR012W	46132
YCR013C	5656
YCR014C	353
YCR015C	247
YCR016W	1139
YCR017C	2209
YCR018C	537
YCR018C-A	54
YCR019W	446
YCR020C	133
YCR020C-A	378
YCR020W-B	341
YCR021C	312
YCR022C	30
YCR023C	948
YCR024C	452
YCR024C-A	3458
YCR024C-B	3262
YCR025C	33
YCR026C	959
YCR027C	409
YCR028C	722
YCR028C-A	2286
YCR030C	1356
YCR031C	18499
